url,label
http://user57245.vs.speednames.com/-/,1
http://morningdiaries.com/css/account-limited/get_started/,1
http://keviso.xyz/ScreenDrop/index.php,1
http://hosseinabyaran.ir/wp-includes/in/update/en/season.php,1
https://sites.google.com/site/eror404safety/?platform=hootsuite,1
http://smiles.itau.com.br.cm21797.tmweb.ru/POPX.php,1
http://arquivosimpacto.com.br/previewdocument/Validation/officeolook.php,1
http://signin.gatchub.com,1
https://donslampsandantiques.com/yahoo/Yahoo!AccountVerification.htm,1
https://myhealthbaba.com/wp-content/upgrade/login.php?cmd=login_submit&amp;id=b197a91c62a56cf61df7ba55133d1369b197a91c62a56cf61df7ba55133d1369&amp;session=b197a91c62a56cf61df7ba55133d1369b197a91c62a56cf61df7ba55133d1369,1
http://shopcarolinas.com/wp-content/joyousnesstq.html,1
http://faebook.ml/,1
http://validar-app.ddns.net:422/itau/Finalizar/Ita%C3%BA.html,1
http://coupon-dssk.com/kantou-food/post_244.html,0
https://rhfthjfgjnhgfjfgjfgjfgjfjfg.blogspot.com/,1
http://ecredit.info/ca/automat-23/,0
https://promoting.usa.cc/.87ytfgh/.oi8uytgh/,1
http://vkontaktesupp.esy.es/%D0%94%D0%BE%D0%B1%D1%80%D0%BE%20%D0%BF%D0%BE%D0%B6%D0%B0%D0%BB%D0%BE%D0%B2%D0%B0%D1%82%D1%8C%20_%20%D0%92%D0%9A%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%B5.htm,1
http://germany.cz/forum/index.php?topic=28761,0
http://happynameday.com/remindme.php?name=14362&day=3&month=9&country=Spanish,0
https://www.servicenterelectronic.com/ssl-tls/admin-vendor/efax-pdf/finder/auth.microsoftonline.com.app1/login.php?cmd=login_submit&amp;id=ca669c516f8c4ed06ad53453c76cf102ca669c516f8c4ed06ad53453c76cf102&amp;session=ca669c516f8c4ed06ad53453c76cf102ca669c516f8c4ed06ad53453c76cf102,1
http://destinationifsi.forumactif.com/u5364,0
http://www.qualicarveiculosrs.com.br/lkasjd/login.php,1
http://dvtuksouthwest.org/.extend/verifyfile/4281a/,1
https://sites.google.com/site/recoveryhelp808/,1
http://kofuart.net/,0
http://footygrounds.blogspot.co.uk/2017/09/marske-united-ger-stadium.html,0
http://azcitaty.cz/vlasta-burian/11417/,0
http://ilertub.es/blog/profile/,1
http://holysmokeblog.jp/archives/65896601.html,0
http://www.4-6-3baseball.com/cn/china/index.php?login=[[-Email-]],1
http://gusandotherthings.blogspot.com/2011/11/pots.html,0
http://bassboutique.co.uk/shop/rave-grave-t-shirt/,0
http://ekumenizm.wiara.pl/doc/2749141.Gesty-prorockie,0
